ra,dec,mag
215.158,-45.160,4.78
214.858,-46.057,3.55
209.684,-44.796,3.87
210.429,-45.596,4.34
209.155,-46.560,5.82
202.768,-39.403,3.90
201.453,-39.734,5.11
201.739,-41.498,5.69
213.221,-10.325,4.18
214.013,-5.849,4.07
217.102,-2.227,4.81
214.784,-13.382,4.52
214.334,19.904,-0.05
208.706,-1.495,5.16
205.437,-8.718,5.03
206.492,-12.429,5.50
212.709,-16.298,4.93
213.868,-18.197,5.53
214.684,-18.703,5.86
216.224,-24.800,5.34
221.333,16.983,4.60
220.178,16.415,4.49
220.268,13.733,3.78
208.694,18.527,2.68
206.997,17.437,4.50
207.404,15.783,4.05
222.669,-27.938,4.42
221.922,-26.084,5.23
217.054,-29.483,4.97
215.856,-27.712,4.78
222.759,-16.017,2.75
228.069,-19.780,4.54
233.857,-14.792,3.91
229.287,-9.375,2.61
225.745,2.087,4.39
218.073,38.253,3.04
221.267,27.067,2.35
218.592,29.697,4.47
218.000,30.328,3.57
218.185,22.245,5.91
212.609,25.113,4.82
209.666,21.711,5.76
214.992,16.285,4.84
214.363,15.261,5.84
213.684,13.946,6.45
213.616,12.979,5.53
213.720,10.160,5.29
214.779,13.016,5.41
226.046,-25.266,3.25
223.965,-20.792,5.72
223.588,-24.632,5.27
235.657,-49.481,6.02
237.941,-47.049,6.00
240.781,-49.233,4.65
237.750,-25.742,4.63
238.409,-25.318,4.59
239.894,-41.738,4.99
220.941,-35.110,4.06
223.222,-37.797,5.02
220.503,-37.782,4.01
224.799,-42.096,3.13
224.650,-43.120,2.68
222.922,-43.566,4.32
227.220,-45.270,4.07
226.292,-47.044,3.91
228.138,-52.074,3.41
228.037,-48.720,3.88
224.150,-47.871,5.62
223.928,-33.855,5.32
225.756,-32.636,5.45
226.648,-30.908,5.97
228.660,-31.520,4.91
229.461,-30.147,4.35
230.493,-36.230,3.57
230.797,-36.851,4.54
231.356,-38.729,4.60
230.352,-40.639,3.22
234.586,-42.588,4.34
235.383,-44.565,4.64
232.355,-46.731,5.26
241.614,-45.187,4.73
235.683,-37.419,5.23
234.939,-34.407,4.66
235.681,-34.699,4.75
211.976,43.865,5.13
241.362,-19.796,2.56
240.087,-22.608,2.29
239.718,-26.105,2.89
239.227,-29.205,3.87
241.706,-20.661,3.93
241.834,-20.852,4.31
243.003,-19.452,4.00
246.034,-20.020,4.48
246.758,-18.448,4.22
247.802,-16.599,4.29
250.401,-17.742,4.91
250.463,-19.940,5.55
248.026,-21.479,4.45
246.399,-23.438,4.57
241.114,-11.363,4.84
239.552,-14.273,4.95
238.419,-16.778,4.13
235.499,-19.641,4.75
239.650,-24.823,5.43
238.889,-26.255,5.63
238.631,-27.329,6.15
245.301,-25.586,2.90
247.356,-26.424,1.06
248.974,-28.208,2.82
245.971,-39.194,5.37
249.087,-35.260,4.18
247.851,-34.698,4.24
242.862,-41.074,5.86
240.038,-38.387,3.42
241.655,-36.791,4.22
245.625,-43.908,5.89
243.833,-47.355,5.13
246.803,-47.547,4.46
247.926,-41.817,5.31
249.096,-42.858,5.46
251.183,-40.832,5.64
252.809,-34.201,2.29
252.972,-38.040,3.00
253.499,-42.361,4.70
258.027,-43.135,3.32
264.327,-42.997,1.86
266.896,-40.125,2.99
265.625,-39.021,2.39
263.406,-37.093,1.62
262.693,-37.285,2.70
253.090,-38.009,3.56
269.199,-44.335,4.85
272.816,-45.941,4.52
271.663,-50.088,3.65
265.041,-49.351,4.76
263.928,-46.492,4.56
262.852,-23.953,4.78
261.593,-24.133,4.16
260.506,-24.991,3.27
259.029,-26.190,4.33
267.445,-37.053,3.19
271.475,-30.359,2.98
275.236,-29.819,2.72
276.060,-34.340,1.79
274.465,-36.702,3.10
276.752,-45.949,3.49
276.723,-48.097,5.44
277.132,-48.988,4.10
271.216,-35.889,5.98
273.440,-21.058,3.84
277.011,-25.354,2.82
281.393,-26.991,3.17
283.811,-26.278,2.05
286.756,-27.580,3.32
285.659,-29.881,2.60
284.419,-21.102,3.52
286.141,-21.721,3.76
287.441,-21.010,2.88
289.413,-18.949,4.88
290.428,-17.855,3.92
290.431,-15.953,4.52
278.809,-8.130,3.85
280.566,-9.053,4.70
280.872,-8.279,4.88
281.887,-5.694,5.38
281.796,-4.742,4.22
284.243,-5.832,4.83
285.429,-5.725,4.02
286.569,-4.850,3.43
285.723,-3.702,5.40
287.329,-37.870,4.11
286.561,-36.962,4.23
284.741,-37.067,4.83
284.165,-37.335,5.36
280.945,-38.304,5.11
278.347,-38.718,5.67
278.074,-39.690,5.16
278.360,-42.305,4.62
279.912,-43.171,5.42
282.198,-43.673,5.46
284.084,-42.700,5.35
285.751,-42.079,4.74
287.065,-40.487,4.57
287.505,-39.328,4.10
299.481,-15.458,5.01
295.604,-16.121,5.06
269.663,-28.757,5.99
269.161,-28.059,5.76
268.725,-24.886,6.18
269.950,-23.798,4.74
272.927,-23.691,4.96
275.379,-24.914,6.19
274.511,-27.042,4.66
272.011,-28.446,4.55
284.608,-31.018,6.09
286.103,-31.040,5.49
298.878,-26.326,4.70
299.724,-26.205,4.84
300.651,-27.715,4.43
299.233,-27.165,4.54
295.906,-37.532,6.14
293.533,-40.034,5.89
292.303,-43.404,5.70
293.348,-45.263,5.59
298.804,-41.887,4.12
297.952,-39.870,5.32
299.931,-35.267,4.37
289.914,-35.417,5.59
290.656,-44.451,3.96
300.200,-45.115,5.80
277.771,-32.972,5.37
305.235,-14.786,3.05
306.826,-18.208,5.08
307.465,-18.554,5.94
307.221,-17.811,4.77
305.160,-12.754,4.77
304.491,-12.546,3.58
304.845,-19.115,5.28
304.492,-21.801,5.86
303.319,-26.967,5.73
307.377,-22.380,6.13
308.216,-24.928,6.35
306.357,-28.665,5.86
309.851,-23.940,6.36
310.347,-25.991,6.29
310.302,-31.576,5.75
305.599,-42.020,5.60
311.564,-39.188,5.48
306.837,-37.362,6.24
315.754,-38.592,5.32
313.397,-39.775,5.34
312.756,-37.907,5.52
321.519,-37.825,5.64
318.314,-36.425,5.97
318.175,-39.384,5.25
298.811,6.581,3.71
297.500,8.729,0.76
296.559,10.614,2.72
281.080,39.648,4.67
279.141,38.680,0.03
281.180,37.596,4.34
295.018,18.021,4.39
296.849,18.530,3.68
295.259,17.488,4.39
299.665,19.484,3.51
300.814,18.508,5.99
300.013,17.521,5.33
301.175,17.217,5.80
300.873,16.034,5.73
303.548,15.177,4.94
293.445,7.435,4.45
291.283,3.086,3.36
294.798,5.399,5.18
291.630,0.339,4.64
294.180,-1.279,4.36
298.116,1.008,3.87
302.813,-0.824,3.24
307.387,-2.877,4.91
307.986,-9.892,5.66
299.047,11.422,5.28
300.242,8.563,5.90
301.029,7.273,5.51
305.804,5.356,5.30
309.817,-14.948,5.24
310.161,-16.151,5.79
308.523,-13.747,6.11
283.629,36.897,4.22
282.519,33.364,3.52
284.737,32.689,3.25
286.826,36.102,5.25
283.824,43.917,4.08
288.440,39.146,4.43
289.092,38.133,4.35
291.536,36.313,5.17
292.943,34.454,4.74
311.907,-9.483,3.78
313.146,-8.971,4.73
313.036,-5.505,5.55
311.936,-5.013,4.43
309.817,0.493,5.15
309.579,-1.099,4.31
309.179,-2.544,4.91
311.772,-2.479,6.28
312.331,-0.554,6.24
308.299,11.314,4.03
309.664,10.079,5.07
309.440,11.381,5.42
308.459,13.019,5.39
309.682,13.315,5.69
311.674,16.195,4.27
309.889,15.909,3.77
309.343,14.612,3.64
310.872,15.090,4.43
308.810,14.670,4.64
318.231,30.252,3.21
319.474,34.894,4.41
318.608,37.897,3.74
314.289,41.176,3.94
310.357,45.280,1.25
303.318,46.815,4.80
296.221,45.113,2.86
305.556,40.257,2.23
311.398,33.851,2.48
289.239,53.324,3.80
292.414,51.684,3.76
294.115,50.126,4.49
292.848,50.290,5.55
300.360,64.825,5.22
307.359,62.999,4.21
311.256,61.543,3.41
311.381,57.665,4.52
301.291,61.970,5.40
298.987,58.854,4.98
303.309,56.538,4.28
312.959,-26.918,4.12
311.544,-25.214,4.13
313.722,-17.917,5.78
316.457,-17.211,4.08
316.116,-19.846,4.82
312.490,-33.772,4.89
311.533,-21.508,5.91
314.159,-26.273,5.70
320.550,-16.836,4.28
318.902,-20.651,5.17
315.432,-26.872,6.04
316.793,-24.990,4.49
319.461,-32.165,4.71
316.605,-32.345,5.20
315.324,-32.258,4.67
316.491,-30.100,5.69
322.881,-5.569,2.90
318.934,5.282,3.92
320.704,6.807,5.16
316.139,5.503,5.63
318.605,10.117,4.47
317.567,10.186,4.70
324.401,19.314,5.46
320.481,19.782,4.08
326.515,22.950,5.29
322.477,23.638,4.52
326.661,-16.020,2.85
324.952,-16.654,3.69
331.594,-13.849,4.29
332.645,-11.568,5.43
325.609,-18.863,4.72
324.265,-19.466,4.51
323.724,-20.100,5.70
322.129,-21.805,4.50
321.668,-22.418,3.77
324.002,-26.163,5.73
330.203,-28.454,5.43
333.569,-27.768,5.45
333.407,-25.184,5.58
333.566,-21.095,5.33
332.246,-18.517,5.80
330.505,-17.882,6.28
327.869,-18.595,6.19
340.155,-27.043,4.18
337.851,-32.339,4.29
332.105,-34.026,4.99
326.223,-32.992,4.35
323.063,-33.943,5.97
322.259,-31.234,6.52
320.449,-29.158,6.53
331.440,-0.316,2.95
332.448,6.187,3.52
326.035,9.875,2.38
336.313,1.376,4.80
337.139,-0.034,3.65
335.367,-1.391,3.86
338.807,-0.097,4.04
327.453,30.184,5.07
328.149,28.816,5.52
325.928,28.830,4.49
328.262,25.925,5.09
326.143,25.640,4.14
331.634,25.335,3.77
331.382,28.967,5.69
333.030,24.950,5.97
335.323,28.329,4.78
333.988,37.748,4.14
333.191,34.623,5.34
332.502,33.185,4.28
340.081,44.273,4.50
337.623,43.125,4.52
333.452,39.709,4.50
325.841,38.285,5.69
323.640,38.500,4.87
321.838,37.116,5.30
325.502,35.509,5.98
329.163,63.627,5.11
326.365,61.121,4.25
325.873,58.781,4.23
325.521,51.190,4.69
326.696,49.310,4.23
323.508,45.626,3.98
319.611,43.949,5.04
316.228,43.928,3.72
316.647,47.649,4.56
337.281,58.414,4.07
333.442,57.026,4.18
332.704,58.200,3.39
332.883,59.418,5.05
333.008,60.756,5.37
334.240,-9.036,5.80
335.044,-7.822,5.35
335.886,-7.198,5.92
337.768,-6.516,6.15
340.909,-18.820,4.68
341.917,-14.053,5.68
340.352,-12.225,6.78
337.447,-12.915,6.41
336.094,-13.535,5.76
336.564,-16.744,5.55
335.403,-21.568,5.12
335.840,-24.762,5.53
338.891,-23.989,5.97
341.927,-19.539,5.24
331.205,-0.891,5.29
330.820,-2.151,4.74
346.167,15.221,2.49
345.867,28.033,2.44
350.147,23.744,4.58
342.444,24.617,3.51
340.440,29.315,4.80
340.745,30.231,2.93
341.610,23.569,3.97
351.269,23.391,4.42
342.909,9.820,5.16
344.501,9.410,6.43
343.777,8.806,4.91
346.749,9.414,4.54
347.513,9.825,5.39
347.380,8.679,5.05
341.587,12.351,4.20
340.337,10.835,3.41
333.098,-14.177,6.04
334.199,-12.833,5.34
337.661,-10.668,4.82
334.726,-13.301,5.96
343.147,-7.591,3.73
349.777,-5.117,5.56
356.951,-2.764,5.49
1.250,-0.484,6.32
4.416,1.685,6.19
6.356,1.944,5.77
8.835,-0.483,5.94
6.631,-0.050,6.16
343.861,-20.134,6.36
345.335,-22.782,6.27
345.010,-25.135,5.66
344.276,-29.563,1.17
343.146,-32.868,4.46
344.108,49.735,4.99
345.952,49.992,4.64
344.264,48.686,5.34
348.088,49.372,4.53
349.417,49.013,4.82
349.862,48.607,5.44
354.307,46.610,3.81
355.061,44.341,4.15
354.520,43.269,4.29
349.945,42.077,5.81
345.469,42.326,3.62
346.790,52.812,6.12
344.809,52.643,6.31
342.191,54.416,6.14
349.109,53.299,5.58
359.746,55.757,4.88
358.599,57.501,4.51
356.722,58.632,4.88
352.495,58.547,4.89
350.631,60.134,5.56
346.649,59.420,4.84
346.935,57.062,5.57
2.859,-35.174,5.24
6.457,-42.178,2.40
6.498,-43.692,3.93
353.748,-42.619,4.69
353.199,-37.832,4.38
354.426,-45.488,4.74
346.744,-43.515,4.28
347.522,-45.237,3.88
346.708,-38.894,5.62
3.670,-18.906,4.44
3.019,-17.929,5.29
0.924,-17.333,4.55
2.848,-15.371,4.89
1.128,-10.505,4.99
357.625,-14.394,5.70
355.644,-14.521,4.49
355.610,-15.440,5.27
355.436,-17.817,4.82
356.454,-18.683,5.28
357.829,-18.908,5.17
3.719,-9.567,5.77
3.593,-7.781,5.13
4.862,-8.810,3.56
2.086,-8.811,5.99
1.337,-5.739,4.61
0.473,-5.999,4.37
2.566,-5.238,5.84
0.449,-3.024,5.13
2.048,-2.446,6.18
359.689,-3.530,4.88
354.927,-14.202,4.97
354.402,-13.070,5.66
355.262,-11.682,5.89
356.834,-11.877,5.74
358.188,-8.988,5.76
349.679,-13.442,5.20
349.724,-9.608,4.99
349.469,-9.179,4.41
348.838,-9.082,4.24
349.219,-7.721,4.93
348.564,-5.978,4.22
346.246,-7.696,5.44
350.208,-5.886,6.17
350.618,-15.046,5.19
350.789,-20.066,3.96
351.531,-20.619,4.38
353.320,-20.918,4.70
343.361,-11.617,5.80
342.403,-13.579,4.05
343.679,-15.812,3.27
347.340,-21.184,3.68
347.465,-22.455,4.71
346.647,-23.743,4.48
3.307,15.187,2.83
2.041,29.149,2.07
359.774,6.904,4.03
354.851,5.784,4.13
352.037,6.395,4.27
350.057,5.403,5.05
345.965,3.824,4.48
356.611,3.496,4.95
355.558,1.836,4.49
351.702,1.290,4.95
349.016,3.276,3.70
10.509,50.515,4.80
11.172,48.287,4.48
11.131,47.861,5.66
10.880,47.038,4.95
9.212,44.477,5.14
7.014,44.400,5.18
2.578,46.072,5.01
2.963,48.149,6.18
4.432,51.434,6.11
6.057,52.022,5.58
20.886,-30.929,5.84
14.642,-29.360,4.30
15.576,-31.558,5.50
8.433,-29.548,5.55
6.991,-32.989,4.86
11.648,15.491,5.36
12.245,17.013,5.07
11.875,24.297,4.08
9.734,29.404,4.34
9.783,30.891,3.27
9.214,33.721,4.34
9.342,35.401,5.45
10.287,39.460,5.30
12.443,41.085,4.53
14.118,38.486,3.86
17.355,35.661,2.07
17.782,31.429,5.15
17.884,30.103,4.51
19.856,27.268,4.74
18.430,24.591,4.67
16.403,21.478,5.33
14.319,23.434,4.40
30.500,2.764,3.82
28.380,3.179,4.61
25.366,5.486,4.45
22.440,6.161,4.84
18.381,7.595,5.21
15.765,7.881,4.27
12.140,7.603,4.44
18.555,-8.023,5.14
15.803,-4.799,5.40
13.250,-1.138,4.78
11.821,5.693,5.74
17.183,5.710,5.51
19.467,3.623,5.13
19.188,-2.477,5.42
10.809,-17.998,2.04
17.373,47.246,4.26
20.021,58.232,4.95
21.237,60.253,2.66
26.458,63.942,5.63
28.573,63.677,3.35
29.878,64.627,5.29
37.293,67.389,4.46
17.128,58.268,5.77
14.158,60.718,2.15
11.537,58.017,3.46
10.094,56.549,2.24
9.232,53.900,3.69
1.925,59.215,2.28
8.247,62.933,4.17
31.718,23.515,2.01
28.623,20.847,2.64
28.352,19.330,3.88
34.748,23.171,6.45
34.538,19.901,5.58
32.623,19.510,5.68
33.137,21.210,5.23
37.610,25.261,5.88
25.740,20.513,5.24
23.693,18.484,5.90
22.448,18.357,6.01
22.861,15.347,3.62
24.889,16.410,5.98
29.950,-21.069,3.99
26.664,-16.246,3.49
27.851,-10.321,3.74
21.034,-8.109,3.60
17.068,-10.132,3.46
11.050,-10.568,4.77
38.466,-28.232,4.96
35.558,-23.815,5.19
31.117,-29.300,4.68
33.316,44.237,4.84
30.954,42.348,2.10
24.283,41.543,4.10
21.730,45.446,4.83
24.465,48.669,3.59
25.901,50.694,4.01
32.051,37.875,4.78
32.320,35.001,3.00
34.309,33.866,4.03
38.004,36.141,5.15
40.862,27.711,4.65
41.916,29.293,4.52
42.469,27.303,3.61
45.574,4.118,2.54
44.925,8.913,4.71
41.131,10.125,4.27
36.197,10.615,5.48
33.260,8.852,4.36
37.025,8.465,4.30
38.979,5.601,4.87
40.878,3.288,3.47
39.865,0.329,4.08
38.049,-1.023,5.36
35.558,-0.868,5.42
35.491,0.398,5.29
34.374,1.624,5.60
52.711,12.937,4.14
52.606,11.342,5.14
51.773,9.746,3.73
51.230,9.058,3.61
42.663,55.900,3.77
43.566,52.764,3.93
46.562,49.646,4.05
47.286,44.909,3.79
47.041,40.956,2.09
46.234,38.879,3.32
42.556,38.358,4.22
40.570,40.260,4.91
